Time,P[W],Source File
17.300000,95.800000,J4It2
17.400000,115.800000,J4It1
17.500000,133.600000,J4It1
17.600000,129.200000,J4It1
17.700000,125.300000,J4It1
17.800000,128.000000,J4It1
17.900000,125.400000,J4It1
18.000000,110.100000,J4It1
18.100000,96.000000,J4It2
18.200000,96.600000,J4It2
18.300000,96.200000,J4It2
18.400000,96.300000,J4It1
18.500000,96.300000,J4It1
18.600000,95.700000,J4It1
18.700000,96.200000,J4It2
18.800000,96.600000,J4It1
18.900000,96.700000,J4It2
19.000000,96.900000,J4It1
19.100000,99.900000,J4It2
19.200000,123.400000,J4It2
19.300000,123.600000,J4It1
19.400000,120.200000,J4It2
19.500000,120.700000,J4It1
19.600000,120.300000,J4It1
19.700000,120.900000,J4It1
19.800000,121.200000,J4It2
19.900000,101.700000,J4It1
20.000000,97.000000,J4It1
20.100000,96.600000,J4It2
20.200000,96.300000,J4It2
20.300000,96.600000,J4It1
20.400000,95.700000,J4It1
20.500000,96.300000,J4It1
20.600000,95.800000,J4It1
20.700000,95.800000,J4It1
20.800000,96.300000,J4It2
20.900000,95.500000,J4It1
21.000000,113.200000,J4It1
21.100000,122.600000,J4It1
21.200000,120.800000,J4It1
21.300000,120.800000,J4It1
21.400000,120.000000,J4It1
21.500000,119.600000,J4It1
21.600000,120.000000,J4It1
21.700000,119.600000,J4It1
21.800000,97.100000,J4It2
21.900000,96.400000,J4It2
22.000000,95.700000,J4It1
22.100000,96.300000,J4It1
22.200000,95.400000,J4It1
22.300000,96.200000,J4It2
22.400000,95.700000,J4It1
22.500000,95.900000,J4It1
22.600000,96.700000,J4It2
22.700000,96.800000,J4It1
22.800000,96.400000,J4It1
22.900000,105.900000,J4It2
23.000000,115.300000,J4It1
23.100000,114.600000,J4It2
23.200000,113.300000,J4It1
23.300000,113.300000,J4It1
23.400000,114.400000,J4It1
23.500000,113.600000,J4It2
23.600000,114.500000,J4It1
23.700000,113.900000,J4It2
23.800000,114.200000,J4It2
23.900000,96.900000,J4It1
24.000000,96.500000,J4It2
24.100000,96.400000,J4It2
24.200000,95.700000,J4It1
24.300000,96.100000,J4It1
24.400000,96.700000,J4It2
24.500000,96.600000,J4It2
24.600000,96.000000,J4It1
24.700000,96.600000,J4It1
24.800000,95.200000,J4It1
24.900000,96.500000,J4It2
25.000000,114.700000,J4It1
25.100000,114.700000,J4It2
25.200000,114.000000,J4It1
25.300000,113.900000,J4It2
25.400000,113.400000,J4It2
25.500000,114.400000,J4It2
25.600000,114.000000,J4It1
25.700000,112.700000,J4It1
25.800000,114.600000,J4It2
25.900000,109.300000,J4It1
26.000000,98.200000,J4It1
26.100000,96.400000,J4It1
26.200000,96.400000,J4It2
26.300000,95.600000,J4It1
26.400000,96.200000,J4It2
26.500000,96.500000,J4It1
26.600000,96.500000,J4It1
26.700000,95.400000,J4It1
26.800000,96.400000,J4It1
26.900000,96.600000,J4It1
27.000000,98.300000,J4It2
27.100000,108.300000,J4It2
27.200000,107.800000,J4It2
27.300000,108.900000,J4It1
27.400000,108.100000,J4It2
27.500000,108.200000,J4It1
27.600000,106.900000,J4It2
27.700000,107.900000,J4It1
27.800000,107.700000,J4It2
27.900000,108.300000,J4It2
28.000000,108.200000,J4It1
28.100000,109.200000,J4It2
28.200000,106.900000,J4It2
28.300000,108.200000,J4It2
28.400000,108.800000,J4It1
28.500000,106.400000,J4It1
28.600000,96.300000,J4It1
